Job Summary Result;;;;;;
Periode: April 2026;;;;;;
Dibuat: 08/05/2026 14:36:01;;;;;;
Model;Report Model;Category;Sales Amount;Sales (Qty);Factory;Sales Month
2TC24HD1400I;2TC24HD1500I;LCD SEID;1157887000;1216;SEID;2026-04
2TC24HD1500I;2TC24HD1500I;LCD SEID;6369779000;6016;SEID;2026-04
2TC32GD1500I;2TC32GD1500I;LCD SEID;25369200;17;SEID;2026-04
2TC32GH3000I;2TC32GH3000I;LCD SEID;31167314087;12892;SKW;2026-04
2TC32HD1400I;2TC32HD1500I;LCD SEID;3046120000;2272;MOKA;2026-04
2TC32HD1500I;2TC32HD1500I;LCD SEID;23590105000;15614;MOKA;2026-04
2TC42DD1I;2TC42DD1I;LCD SEID;1596000;1;SEID;2026-04
2TC42EG1I;2TC42EG1I;LCD SEID;-3692000;-1;SEID;2026-04
2TC42FD1I;2TC42FD1I;LCD SEID;-2700000;-1;SEID;2026-04
2TC43GH3000I;2TC43GH3000I;LCD SEID;36139752536;10511;SKW;2026-04
2TC43HD1500I;2TC43HD1500I;LCD SEID;523183400;196;SEID;2026-04
4TC43HJ6000I;4TC43HJ6000I;LCD SEID;11431753000;2497;MOKA;2026-04
4TC50FJ1I;4TC50FJ1I;LCD SEID;7151352;2;MTC;2026-04
4TC50FK1I;4TC50FK1I;LCD SEID;-1818700;0;SEID;2026-04
4TC50HJ6000I;4TC50HJ6000I;LCD SEID;10530813225;1871;MOKA;2026-04
4TC50HL6500I;4TC50HL6500I;LCD SEID;1302268000;165;MOKA;2026-04
4TC55FJ1I;4TC55FJ1I;LCD SEID;1353400;1;MTC;2026-04
4TC55HJ6000I;4TC55HJ6000I;LCD SEID;6476899316;963;MOKA;2026-04
4TC55HL6500I;4TC55HL6500I;LCD SEID;1349939000;151;MOKA;2026-04
4TC55HN7000I;4TC55HN7000I;LCD SEID;219023000;21;MOKA;2026-04
4TC65FJ1I;4TC65FJ1I;LCD SEID;-3434000;0;MTC;2026-04
4TC65HJ6000I;4TC65HJ6000I;LCD SEID;8229581000;934;MOKA;2026-04
4TC65HL6500I;4TC65HL6500I;LCD SEID;1182102000;105;MOKA;2026-04
4TC65HN7000I;4TC65HN7000I;LCD SEID;490442000;30;MOKA;2026-04
4TC65HU8500I;4TC65HU8500I;LCD SEID;61600000;3;MOKA;2026-04
4TC75HJ6000I;4TC75HJ6000I;LCD SEID;5896651721;496;MOKA;2026-04
4TC75HJ6000IG;4TC75HJ6000I;LCD SEID;360000000;40;MOKA;2026-04
4TC75HL6500I;4TC75HL6500I;LCD SEID;430031000;30;MOKA;2026-04
4TC75HN7000I;4TC75HN7000I;LCD SEID;351490000;16;MOKA;2026-04
LC32SA4101I;LC32SA4101I;LCD SEID;-1650000;-1;SEID;2026-04
