Action;Category;Defect
EXPLANATION;NON_DEFECT;EXPLANATION
REPAIR_MAIN_UNIT;DEFECT;MAIN_UNIT
REPLACE_MAIN_UNIT;DEFECT;MAIN_UNIT
BEFORE_IMPROVE;N/A;N/A
BEFORE_IMPROVE_REMOTE;N/A;N/A
CANCEL;N/A;N/A
EXTERNAL;N/A;N/A
REPLACE_PANEL_BEFORE_CHANGE;N/A;N/A
SUBTITUSI;N/A;N/A
VERIFIED_OK;N/A;N/A
ZY;N/A;N/A
REINSERT_CABINET;DEFECT;OTHER
REINSERT_LVDS;DEFECT;OTHER
REINSERT_SOCKET;DEFECT;OTHER
REINSERT_SPEAKER;DEFECT;OTHER
REINSERT_WIFI_UNIT;DEFECT;OTHER
REPAIR_IR_UNIT;DEFECT;OTHER
REPAIR_LED_BAR;DEFECT;OTHER
REPAIR_LVDS;DEFECT;OTHER
REPAIR_REMOTE;DEFECT;OTHER
REPAIR_SHEET;DEFECT;OTHER
REPAIR_SPEAKER;DEFECT;OTHER
REPAIR_TCON;DEFECT;OTHER
REPAIR_TCON_UNIT;DEFECT;OTHER
REPAIR_WIFI_UNIT;DEFECT;OTHER
REPLACE SWITCH;DEFECT;OTHER
REPLACE_AC_CORD;DEFECT;OTHER
REPLACE_FFC_WIRE;DEFECT;OTHER
REPLACE_IR_UNIT;DEFECT;OTHER
REPLACE_LED_BAR;DEFECT;OTHER
REPLACE_LVDS_WIRE;DEFECT;OTHER
REPLACE_REMOTE;DEFECT;OTHER
REPLACE_SPEAKER;DEFECT;OTHER
REPLACE_TAPE;DEFECT;OTHER
REPLACE_TCON_UNIT;DEFECT;OTHER
REPLACE_WIFI_UNIT;DEFECT;OTHER
REPAIR_PANEL;DEFECT;PANEL
REPLACE_PANEL;DEFECT;PANEL
REPAIR_POWER_UNIT;DEFECT;POWER_UNIT
REPLACE_POWER_UNIT;DEFECT;POWER_UNIT
SETTING;NON_DEFECT;SETTING
SIGNAL;NON_DEFECT;SIGNAL
FACTORY_RESET;DEFECT;SOFTWARE
UPGRADE;DEFECT;SOFTWARE
USER;NON_DEFECT;USER
