report_month,source_model,monitoring_file,launching_month,launching_period,accumulated_sales,defect_qty,non_defect_qty,total_claim_qty,exposure,defect_ppm,non_defect_ppm,total_ppm
2026-04,2TC32GH3000I,01-2TC32GH3000I.xlsx,2024-09,19,244357,1528,295,1823,4642783,329.112948,63.539476,392.652424
2026-04,2TC43GH3000I,02-2TC43GH3000I.xlsx,2024-10,18,189895,1587,286,1873,3418110,464.291670,83.671971,547.963641
2026-04,4TC43HJ6000I,03-4TC43HJ6000I.xlsx,2025-06,10,32083,157,71,228,320830,489.355734,221.301001,710.656734
2026-04,4TC50HJ6000I,04-4TC50HJ6000I.xlsx,2025-06,10,18604,88,49,137,186040,473.016556,263.384218,736.400774
2026-04,4TC55HJ6000I,05-4TC55HJ6000I.xlsx,2025-06,10,16739,60,52,112,167390,358.444352,310.651771,669.096123
2026-04,4TC50HL6500I,06-4TC50HL6500I.xlsx,2025-06,10,2195,7,6,13,21950,318.906606,273.348519,592.255125
2026-04,4TC55HL6500I,07-4TC55HL6500I.xlsx,2025-06,10,2358,6,7,13,23580,254.452926,296.861747,551.314673
2026-04,4TC65HL6500I,08-4TC65HL6500I.xlsx,2025-06,10,1915,15,6,21,19150,783.289817,313.315927,1096.605744
2026-04,4TC75HL6500I,09-4TC75HL6500I.xlsx,2025-06,10,723,5,4,9,7230,691.562932,553.250346,1244.813278
2026-04,4TC65HJ6000I,10-4TC65HJ6000I.xlsx,2025-06,10,9869,48,24,72,98690,486.371466,243.185733,729.557199
2026-04,4TC75HJ6000I,11-4TC75HJ6000I.xlsx,2025-06,10,4142,14,21,35,41420,338.000966,507.001449,845.002414
2026-04,2TC24HD1500I,12-2TC24HD1500I.xlsx,2025-06,10,109235,137,48,185,1092350,125.417677,43.941960,169.359637
2026-04,2TC32HD1500I,13-2TC32HD1500I.xlsx,2025-06,10,181591,394,145,539,1815910,216.971105,79.849772,296.820878
2026-04,2TC43HD1500I,14-2TC43HD1500I.xlsx,2025-06,10,7620,15,11,26,76200,196.850394,144.356955,341.207349
2026-04,TOTAL,,,,821326,4061,1025,5086,11931633,340.355759,85.906095,426.261854
